word,mlu,dataset
face,8.701898960945897,childes
catch,7.421699078812692,childes
closet,8.925233644859814,childes
close,7.912028301886792,childes
train,7.679205736348593,childes
rain,7.7394833033888855,childes
knock,8.064590924147069,childes
fit,7.861426256077796,childes
shake,5.594335859593139,childes
swim,7.5412960609911055,childes
refrigerator,8.573333333333334,childes
bread,7.960314857330272,childes
throw,7.750169185653057,childes
telephone,7.086797957695113,childes
sock,6.965846994535519,childes
lick,6.787594823739402,childes
sweater,7.852534562211981,childes
swing,7.237113402061856,childes
leg,8.466208476517755,childes
penny,7.629464285714286,childes
sister,8.36491722437478,childes
tired,5.9958890030832475,childes
present,8.50840579710145,childes
clown,7.5829195630585895,childes
ride,8.744075829383887,childes
nose,7.071618037135279,childes
puppy,6.996815286624204,childes
broom,10.307692307692308,childes
shovel,7.338095238095238,childes
wet,7.2292817679558015,childes
washing,8.645968489341984,childes
work,8.439935341160457,childes
pour,8.303465765004226,childes
sweep,7.523545706371191,childes
brush,6.768273716951788,childes
smile,5.6040882194728345,childes
towel,7.789256198347108,childes
toast,7.281632653061225,childes
lion,7.156446991404011,childes
firetruck,5.3125,childes
loud,7.107818772701204,childes
knee,8.540869565217392,childes
blue,6.141473590106534,childes
candy,7.6821052631578945,childes
tiger,6.285359801488834,childes
zebra,6.826086956521739,childes
