Index	age	fit_prop	fit_se	aoa	language	form	measure	lexical_category	uni_lemma	words	prop	word_bytes	CleanedWord	CleanedSingle
81	21	0.273877255690227	0.0310058506844313	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.254098360655738	79 6f 75	you	you
82	22	0.336362357916098	0.0276240114666435	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.359030837004405	79 6f 75	you	you
83	23	0.405149139209952	0.0255164439839902	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.429787234042553	79 6f 75	you	you
84	24	0.477873536648957	0.0250074286743324	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.452791878172589	79 6f 75	you	you
85	25	0.551548214304013	0.0261903366807378	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.570673712021136	79 6f 75	you	you
86	26	0.623027839560399	0.028857852540233	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.622988505747126	79 6f 75	you	you
87	27	0.689527584471166	0.0326480817545553	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.692520775623269	79 6f 75	you	you
88	28	0.74902206667776	0.037219598365717	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.818658280922432	79 6f 75	you	you
89	29	0.800415810254031	0.0423199649573732	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.774358974358974	79 6f 75	you	you
90	30	0.843484566673401	0.0477801217737687	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.778343949044586	79 6f 75	you	you
91	16	0.0129420399713632	0.0993327181496765	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.00967741935483871	79 6f 75 72	your	your
92	17	0.0178552171664419	0.0905466328444865	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.0218340611353712	79 6f 75 72	your	your
93	18	0.0245871193907494	0.0818655121333658	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.0140405616224649	79 6f 75 72	your	your
94	19	0.0337698618940417	0.0733266456832384	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.0333333333333333	79 6f 75 72	your	your
95	20	0.0462196463779299	0.0649861322927052	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.031657355679702	79 6f 75 72	your	your
96	21	0.0629601627444531	0.056931215923144	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.0546448087431694	79 6f 75 72	your	your
97	22	0.0852222365219779	0.0493020773956148	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.0704845814977974	79 6f 75 72	your	your
98	23	0.114394973522998	0.0423295624531085	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.129787234042553	79 6f 75 72	your	your
99	24	0.151895758108577	0.036393054451817	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.158375634517766	79 6f 75 72	your	your
100	25	0.198928582398793	0.0320730806145449	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.215323645970938	79 6f 75 72	your	your
101	26	0.256126528630384	0.030074509485512	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.252873563218391	79 6f 75 72	your	your
102	27	0.323136556563792	0.030851827731823	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.28808864265928	79 6f 75 72	your	your
103	28	0.398291325173182	0.0342163697797837	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.487421383647799	79 6f 75 72	your	your
104	29	0.478566931434299	0.0395126584822203	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.438461538461538	79 6f 75 72	your	your
105	30	0.559964997436882	0.0460793438828196	29.2624956287305	English (American)	WS	produces	function_words	2SG.POSS	your	0.489171974522293	79 6f 75 72	your	your
106	16	0.00431816517075416	0.162273740819414	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.0010752688172043	79 6f 75 72 73 65 6c 66	yourself	yourself
107	17	0.00585368054562668	0.148661213269788	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.0131004366812227	79 6f 75 72 73 65 6c 66	yourself	yourself
108	18	0.0079308673985615	0.135162705568487	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.0093603744149766	79 6f 75 72 73 65 6c 66	yourself	yourself
109	19	0.010737186053464	0.121816127408363	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.0105263157894737	79 6f 75 72 73 65 6c 66	yourself	yourself
110	20	0.0145219781820969	0.108677468186264	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.0167597765363128	79 6f 75 72 73 65 6c 66	yourself	yourself
111	21	0.0196144343375393	0.0958322834978447	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.00273224043715847	79 6f 75 72 73 65 6c 66	yourself	yourself
112	22	0.0264447535328416	0.0834162592296922	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.013215859030837	79 6f 75 72 73 65 6c 66	yourself	yourself
113	23	0.0355672995170764	0.0716528388953858	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.0425531914893617	79 6f 75 72 73 65 6c 66	yourself	yourself
114	24	0.0476826835167348	0.060921241074768	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.0446700507614213	79 6f 75 72 73 65 6c 66	yourself	yourself
115	25	0.0636525878166027	0.0518659539663629	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.059445178335535	79 6f 75 72 73 65 6c 66	yourself	yourself
116	26	0.0844965679990314	0.0454990991341668	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.0827586206896552	79 6f 75 72 73 65 6c 66	yourself	yourself
117	27	0.111354479336208	0.0430310369109273	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.113573407202216	79 6f 75 72 73 65 6c 66	yourself	yourself
118	28	0.145393608308849	0.0451063579517059	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.20020964360587	79 6f 75 72 73 65 6c 66	yourself	yourself
119	29	0.187640816913308	0.0511752693411011	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.156410256410256	79 6f 75 72 73 65 6c 66	yourself	yourself
120	30	0.238734595208715	0.0600386886185071	33.7923236048087	English (American)	WS	produces	function_words	2SG.REFL	yourself	0.203821656050955	79 6f 75 72 73 65 6c 66	yourself	yourself
121	16	0.010605844034252	0.107194860851167	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.0032258064516129	74 68 65 6d 2c 20 74 68 65 79	them, they	them
122	17	0.0146279992244807	0.0978365712354232	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.0152838427947598	74 68 65 6d 2c 20 74 68 65 79	them, they	them
123	18	0.0201444576753947	0.0885802311720685	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.0140405616224649	74 68 65 6d 2c 20 74 68 65 79	them, they	them
124	19	0.0276828182971508	0.0794614764718111	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.0333333333333333	74 68 65 6d 2c 20 74 68 65 79	them, they	them
125	20	0.037932939878296	0.0705336893750308	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.031657355679702	74 68 65 6d 2c 20 74 68 65 79	them, they	them
126	21	0.0517762736479591	0.0618795817359534	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.0355191256830601	74 68 65 6d 2c 20 74 68 65 79	them, they	them
127	22	0.070302452216496	0.0536318015730386	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.0638766519823789	74 68 65 6d 2c 20 74 68 65 79	them, they	them
128	23	0.0947948255745449	0.0460093887083179	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.104255319148936	74 68 65 6d 2c 20 74 68 65 79	them, they	them
129	24	0.126657526208699	0.0393771985271482	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.12994923857868	74 68 65 6d 2c 20 74 68 65 79	them, they	them
130	25	0.167251202578285	0.0343142810440471	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.171730515191546	74 68 65 6d 2c 20 74 68 65 79	them, they	them
131	26	0.217613329295362	0.0315845248259857	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.222988505747126	74 68 65 6d 2c 20 74 68 65 79	them, they	them
132	27	0.278076387459144	0.0317946652535738	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.282548476454294	74 68 65 6d 2c 20 74 68 65 79	them, they	them
133	28	0.347869416948583	0.0348916246953388	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.420335429769392	74 68 65 6d 2c 20 74 68 65 79	them, they	them
134	29	0.424870254393641	0.0402138833534389	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.41025641025641	74 68 65 6d 2c 20 74 68 65 79	them, they	them
135	30	0.505698255594744	0.0470116321779797	29.9299950826913	English (American)	WS	produces	function_words	3PL	them, they	0.430573248407643	74 68 65 6d 2c 20 74 68 65 79	them, they	them
136	16	0.00598325097878055	0.140207491941703	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0010752688172043	74 68 65 69 72	their	their
137	17	0.00811484558106376	0.128332784836729	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0152838427947598	74 68 65 69 72	their	their
138	18	0.0109974408958935	0.116565651297374	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0124804992199688	74 68 65 69 72	their	their
139	19	0.0148886356419634	0.104942284098808	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0140350877192982	74 68 65 69 72	their	their
140	20	0.0201286198252563	0.0935163058104417	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0186219739292365	74 68 65 69 72	their	their
