word,lexical_class,aoa,n_chars,word_count,mlu,frequency,log_frequency,concreteness
gas,other,29.2375435012348,3,303.0,7.607260726072608,4.034484590599012e-05,-10.118046906078952,4.29
gentle,predicates,28.1065245693038,6,436.0,4.259174311926605,5.805396968650723e-05,-9.754137468239287,2.53
get,predicates,24.6869900756793,3,33673.0,8.239390609687286,0.00448360394782972,-5.4073281033132785,2.38
girl,other,24.9880724416448,4,4980.0,6.469879518072289,0.0006630935069697386,-7.318594541569623,4.85
give,other,25.1246744164571,4,10088.0,8.018834258524981,0.0013432303811868921,-6.612677833943566,2.83
give,predicates,25.8955805508112,4,10088.0,8.018834258524981,0.0013432303811868921,-6.612677833943566,2.83
glass,nouns,26.5351086005061,5,862.0,9.23781902552204,0.00011477642630681017,-9.072524440924628,4.82
go,other,23.3288300853351,2,44196.0,7.222101547651371,0.005884755147396499,-5.135390145355256,3.15
go,predicates,19.8947148418688,2,44196.0,7.222101547651371,0.005884755147396499,-5.135390145355256,3.15
gonna,function_words,27.9890605926252,5,28417.0,7.845585389027694,0.003783760680232743,-5.577036874974188,3.8182539682539685
gonna,other,25.2820798245195,5,28417.0,7.845585389027694,0.003783760680232743,-5.577036874974188,3.8182539682539685
good,predicates,24.5445898041782,4,26905.0,4.879687790373537,0.003582435904622654,-5.631712289664802,1.64
grass,nouns,24.0698835672036,5,665.0,8.395488721804512,8.854561890258557e-05,-9.331992670932468,4.93
green,nouns,28.4112469234295,5,3242.0,7.200493522516965,0.00043167653606343223,-7.7478340092927,4.07
green,predicates,24.5795455895427,5,3242.0,7.200493522516965,0.00043167653606343223,-7.7478340092927,4.07
hair,nouns,20.2978702138868,4,3700.0,7.204054054054054,0.000492659834495589,-7.615691612956006,4.97
hand,nouns,21.6437349842812,4,3464.0,7.690242494226328,0.00046123612613316756,-7.681600441905996,4.72
happy,predicates,24.2952777002971,5,1963.0,7.237391747325522,0.000261376014895903,-8.24955051731186,2.56
hard,predicates,28.1009813903743,4,3019.0,8.38754554488241,0.00040198379468707647,-7.8190987818814826,3.76
hat,nouns,18.9269779531034,3,2843.0,6.399929651776293,0.0003785491647218809,-7.879164599937321,4.88
have,predicates,26.2928212494666,4,42406.0,8.949134556430694,0.005646414308545931,-5.1767345709458255,2.18
